The initial point is (0.0, 0.0)

  k|                x                 |     alpha     |               step               
  0| ( 0.00000000000,  0.00000000000) | 0.06250000000 | ( 2.00000000000, -0.00000000000) 
  1| ( 0.12500000000,  0.00000000000) | 0.01562500000 | ( 3.34243806589,  3.12500000000) 
  2| ( 0.17722559478,  0.04882812500) | 0.00781250000 | ( 2.88040029469, -3.48384271101) 
  3| ( 0.19972872208,  0.02161060382) | 0.00781250000 | ( 0.14004875675,  3.65619172083) 
  4| ( 0.20082285299,  0.05017460164) | 0.00781250000 | ( 2.38917648288, -1.96895667093) 
  5| ( 0.21948829427,  0.03479212765) | 0.00781250000 | ( 0.38605923014,  2.67659673447) 
  6| ( 0.22250438200,  0.05570303964) | 0.00781250000 | ( 2.10634193098, -1.23896792513) 
  7| ( 0.23896017834,  0.04602360272) | 0.00781250000 | ( 0.46316354207,  2.21567282211) 
  8| ( 0.24257864351,  0.06333354664) | 0.00781250000 | ( 1.95043035017, -0.89782967124) 
  9| ( 0.25781638062,  0.05631925234) | 0.00781250000 | ( 0.43762821860,  2.03000675591) 
 10| ( 0.26123535108,  0.07217868012) | 0.00781250000 | ( 1.88868881485, -0.78695429285) 
 11| ( 0.27599073244,  0.06603059970) | 0.00781250000 | ( 0.32856759155,  2.02805693816) 
 12| ( 0.27855766675,  0.08187479453) | 0.00781250000 | ( 1.91982116754, -0.85608416534) 
 13| ( 0.29355626962,  0.07518663699) | 0.00781250000 | ( 0.12257186320,  2.19772928879) 
 14| ( 0.29451386231,  0.09235639706) | 0.00781250000 | ( 2.07280052471, -1.12359639407) 
 15| ( 0.31070761641,  0.08357830023) | 0.00781250000 | (-0.23223943011,  2.59218453204) 
 16| ( 0.30889324586,  0.10382974189) | 0.00390625000 | ( 2.42191043354, -1.68294091044) 
 17| ( 0.31835383349,  0.09725575396) | 0.50000000000 | ( 0.84203003748,  0.81868186793) 
 18| ( 0.73936885223,  0.50659668792) | 0.00195312500 | (-11.32922979381,  8.01392234482) 
 19| ( 0.71724145029,  0.52224888000) | 0.00195312500 | ( 2.80720418209, -1.56271639818) 
 20| ( 0.72272427096,  0.51919669954) | 0.00195312500 | (-0.35136384192,  0.62673445843) 
 21| ( 0.72203801345,  0.52042079028) | 0.01562500000 | ( 0.29075909563,  0.18362051885) 
 22| ( 0.72658112432,  0.52328986088) | 0.00195312500 | (-0.79887167540,  0.92605386748) 
 23| ( 0.72502082808,  0.52509855984) | 0.00390625000 | ( 0.38852482702,  0.11132826154) 
 24| ( 0.72653850319,  0.52553343586) | 0.00390625000 | (-0.12869118998,  0.46495214946) 
 25| ( 0.72603580323,  0.52734965520) | 0.00195312500 | ( 0.61230094473, -0.04433352670) 
 26| ( 0.72723170351,  0.52726306628) | 0.01562500000 | ( 0.07926636973,  0.32057686159) 
 27| ( 0.72847024054,  0.53227207974) | 0.00195312500 | ( 1.01020661973, -0.32063767927) 
 28| ( 0.73044330034,  0.53164583427) | 0.00781250000 | (-0.01648828598,  0.38031614725) 
 29| ( 0.73031448560,  0.53461705417) | 0.00195312500 | ( 0.90680576904, -0.25156125802) 
 30| ( 0.73208559062,  0.53412572359) | 0.00781250000 | ( 0.00181677267,  0.36471768095) 
 31| ( 0.73209978416,  0.53697508047) | 0.00195312500 | ( 0.83009766586, -0.20099730184) 
 32| ( 0.73372106866,  0.53658250762) | 0.00781250000 | ( 0.01481229233,  0.35281979595) 
 33| ( 0.73383678970,  0.53933891228) | 0.00195312500 | ( 0.77374943803, -0.16449567271) 
 34| ( 0.73534801907,  0.53901763166) | 0.00781250000 | ( 0.02365293211,  0.34381549637) 
 35| ( 0.73553280760,  0.54170369023) | 0.00195312500 | ( 0.73346227871, -0.13903583493) 
 36| ( 0.73696535111,  0.54143213587) | 0.00781250000 | ( 0.02911797447,  0.33715857516) 
 37| ( 0.73719283529,  0.54406618723) | 0.00195312500 | ( 0.70634477054, -0.12258216659) 
 38| ( 0.73857241492,  0.54382676894) | 0.00781250000 | ( 0.03171835835,  0.33248862779) 
 39| ( 0.73882021459,  0.54642433634) | 0.00195312500 | ( 0.69052003213, -0.11380537056) 
 40| ( 0.74016888653,  0.54620206023) | 0.00781250000 | ( 0.03176351552,  0.32958407170) 
 41| ( 0.74041703900,  0.54877693579) | 0.00195312500 | ( 0.68488137078, -0.11190883091) 
 42| ( 0.74175469792,  0.54855836385) | 0.00781250000 | ( 0.02940164573,  0.32833360730) 
 43| ( 0.74198439828,  0.55112347016) | 0.00195312500 | ( 0.68894706736, -0.11652457401) 
 44| ( 0.74332999802,  0.55089588310) | 0.00781250000 | ( 0.02464130772,  0.32872057109) 
 45| ( 0.74352250824,  0.55346401256) | 0.00195312500 | ( 0.70278588862, -0.12765846164) 
 46| ( 0.74489513693,  0.55321467963) | 0.00781250000 | ( 0.01735868275,  0.33081707705) 
 47| ( 0.74503075164,  0.55579918805) | 0.00195312500 | ( 0.72699789068, -0.14567343267) 
 48| ( 0.74645066939,  0.55551466962) | 0.00781250000 | ( 0.00729254761,  0.33478644223) 
 49| ( 0.74650764242,  0.55813018870) | 0.00195312500 | ( 0.76274376144, -0.17130570256) 
 50| ( 0.74799737633,  0.55779560725) | 0.00781250000 | (-0.00597270402,  0.34089354824) 
 51| ( 0.74795071458,  0.56045883810) | 0.00195312500 | ( 0.81182244653, -0.20571333211) 
 52| ( 0.74953630529,  0.56005705425) | 0.00390625000 | (-0.02303707625,  0.34952374142) 
 53| ( 0.74944631671,  0.56142238136) | 0.00390625000 | ( 0.42693907856,  0.04948005519) 
 54| ( 0.75111404749,  0.56161566283) | 0.00195312500 | (-0.27036524416,  0.51132990209) 
 55| ( 0.75058599037,  0.56261435404) | 0.00781250000 | ( 0.26915323911,  0.15299498042) 
 56| ( 0.75268875005,  0.56380962733) | 0.00195312500 | (-0.32753554712,  0.54614542611) 
 57| ( 0.75204903219,  0.56487631761) | 0.00781250000 | ( 0.28489526611,  0.14028584061) 
