The initial point is [1 2]

  k|                x                 |     alpha     |               step               
  0| ( 1.00000000000  2.00000000000 ) | 0.06250000000 | (-16.00000400000 -40.00000800000 )
  1| (-0.00000025000 -0.50000050000 ) | 0.01562500000 | ( 3.75384494867 58.96154002053 )
  2| ( 0.05865357732  0.42127356282 ) | 0.25000000000 | ( 3.95755530197 -0.30485487807 )
  3| ( 1.04804240281  0.34505984330 ) | 0.12500000000 | (-1.10379954251 -1.68038646687 )
  4| ( 0.91006746000  0.13501153495 ) | 0.12500000000 | ( 0.91868669081 -0.45712307912 )
  5| ( 1.02490329635  0.07787115006 ) | 0.12500000000 | (-0.33120723343 -0.32908088948 )
  6| ( 0.98350239217  0.03673603887 ) | 0.12500000000 | ( 0.18941017812 -0.14233414878 )
  7| ( 1.00717866444  0.01894427027 ) | 0.12500000000 | (-0.08821372718 -0.07689621367 )
  8| ( 0.99615194854  0.00933224356 ) | 0.12500000000 | ( 0.04564814827 -0.03704552772 )
  9| ( 1.00185796707  0.00470155260 ) | 0.12500000000 | (-0.02242964514 -0.01887659247 )
 10| ( 0.99905426143  0.00234197854 ) | 0.12500000000 | ( 0.01131221823 -0.00935026410 )
 11| ( 1.00046828871  0.00117319553 ) | 0.12500000000 | (-0.00563160646 -0.00469718945 )
 12| ( 0.99976433790  0.00058604685 ) | 0.12500000000 | ( 0.00282190625 -0.00234308580 )
 13| ( 1.00011707618  0.00029316112 ) | 0.12500000000 | (-0.00140942297 -0.00117292036 )
 14| ( 0.99994089831  0.00014654608 ) | 0.12500000000 | ( 0.00070509268 -0.00058611562 )
 15| ( 1.00002903490  0.00007328163 ) | 0.12500000000 | (-0.00035245048 -0.00029314382 )
 16| ( 0.99998497859  0.00003663865 ) | 0.12500000000 | ( 0.00017624894 -0.00014655034 )
 17| ( 1.00000700970  0.00001831986 ) | 0.12500000000 | (-0.00008811841 -0.00007328052 )
 18| ( 0.99999599490  0.00000915979 ) | 0.12500000000 | ( 0.00004406065 -0.00003663890 )
 19| ( 1.00000150248  0.00000457993 ) | 0.12500000000 | (-0.00002202993 -0.00001831978 )
 20| ( 0.99999874874  0.00000228995 ) | 0.25000000000 | ( 0.00001101505 -0.00000915980 )
 21| ( 1.00000150251  0.00000000000 ) | 0.06250000000 | (-0.00002203009 -0.00000000001 )
 22| ( 1.00000012562  0.00000000000 ) | 0.01562500000 | (-0.00000550749 -0.00000000001 )
 23| ( 1.00000003957  0.00000000000 ) | 0.00097656250 | (-0.00000447484 -0.00000000001 )
 24| ( 1.00000003520  0.00000000000 ) | 0.00000000000 | (-0.00000442240 -0.00000000001 )

TOTAL ITERATIONS: 24
SOLUTION: x    = ( 1.000  0.000 )VALUE:    f(x) =   0.0000000
